Date/Time,Word Count,en,es
2024.08.13-20.54.57,3,3,0
2024.08.13-20.58.50,3,3,3
2024.08.25-17.18.06,19,19,3
2024.08.25-17.21.26,4,4,3
2024.08.25-17.23.24,4,4,4
2024.08.25-17.28.14,4,4,3
2024.08.25-17.28.48,4,4,4
2024.10.09-00.09.38,50,50,4
2024.10.09-00.23.27,38,38,4
2024.10.09-00.44.41,26,26,4
2024.10.09-00.51.23,21,21,4
2024.10.09-00.54.12,21,21,21
2024.10.10-05.49.30,27,27,21
2024.10.10-12.40.27,27,27,22
2024.10.10-12.44.52,27,27,23
2024.10.10-12.46.49,27,27,27
2024.12.05-14.50.18,32,32,27
2024.12.05-14.53.09,31,31,27
2024.12.05-15.01.21,31,31,31
2024.12.05-18.13.59,31,31,27
2024.12.05-18.15.40,31,31,31
